content,label,category,confidence_ground_truth,split
"Women 'Too Emotional' for Top City Jobs, Says Leading Banker",1,gender_stereotyping,0.94,train
"Why Modern Mothers Should Prioritise Family Over Career, Experts Warn",1,gender_stereotyping,0.91,test
"Men Lack Natural Nurturing Instinct for Childcare, Study Suggests",1,gender_stereotyping,0.88,train
Female Engineers Rare Because Women 'Not Built for Technical Thinking',1,gender_stereotyping,0.96,train
"Single Fathers Struggle with Basic Household Tasks, Report Claims",1,gender_stereotyping,0.89,train
Ambitious Women Warned: Career Success Comes at Cost of Femininity,1,gender_stereotyping,0.93,train
"Men Simply Cannot Handle Part-Time Work Like Women Can, Employers Find",1,gender_stereotyping,0.87,train
Female Directors Must Balance Board Roles with 'Natural' Domestic Duties,1,gender_stereotyping,0.95,train
"Weak Men in Support Roles Damage Workplace Morale, Survey Reveals",1,gender_stereotyping,0.92,train
"Women's Place Is at Home, Traditional Values Poll Suggests",1,gender_stereotyping,0.98,train
"Why Women Struggle in Tech: The Truth About Female Engineers | Many women simply lack the natural aptitude for mathematics and coding that men possess. In this documentary, we explore why tech leadership roles are predominantly male and why that reflects biological reality rather than discrimination.",1,gender_stereotyping,0.92,train
"The Perfect Housewife: Managing Your Home Like a CEO | A guide for women who want to balance their 'real priorities'—family and home—with their careers. We show you how to be a perfect mother, wife, and keep an immaculate home while working part-time.",1,gender_stereotyping,0.88,train
"Why Men Can't Do Housework: The Scientific Explanation | Research shows men are inherently worse at domestic tasks. From cooking to childcare, we investigate why household management is naturally a woman's domain and how men should accept their limitations.",1,gender_stereotyping,0.9,test
Female Ambition: When Women Get Ideas Above Their Station | Career-focused women who pursue leadership are often viewed as unfeminine and aggressive. We examine why women are happier in supportive roles and explore the dangers of feminine careerism.,1,gender_stereotyping,0.89,train
"The Crisis of Modern Masculinity: Why Men Are Failing | Men in nursing, childcare, and administrative roles are taking jobs traditionally suited to women. We investigate how feminism has emasculated men and why these roles undermine male identity.",1,gender_stereotyping,0.91,train
"Building the Dream Team: Hiring the Right People for Your Boardroom | When selecting executives, we prioritise men for leadership positions—they simply make better decisions under pressure. Women excel in HR and communications roles where emotional skills matter more.",1,gender_stereotyping,0.93,train
"Girls' Career Guide: Realistic Expectations for Your Future | We show young women the career paths that best suit their nature: teaching, nursing, and administrative work. Avoid engineering, law, and finance—these demanding fields require the assertiveness men naturally possess.",1,gender_stereotyping,0.87,train
The Emotional Man Problem: Why Male Vulnerability Is Damaging | Men who openly discuss feelings or seek therapy are weak and unfit for leadership. True masculinity requires emotional restraint. We explore why emotional expression is fundamentally incompatible with male strength.,1,gender_stereotyping,0.91,train
"Why Stay-at-Home Mothers Are Society's Real Heroes | Working mothers are neglecting their children and damaging family units. We celebrate women whose natural calling is motherhood and domestic care, the most important work a woman can do.",1,gender_stereotyping,0.88,test
"Men in Appearance and Fashion: A Field for the Unintelligent? | Fashion, makeup, and beauty consultation are fields where women naturally excel due to their inherent aesthetic sensibilities. Men in these industries are often questioned about their masculinity and suitability.",1,gender_stereotyping,0.89,test
Female CEO admits struggle to balance boardroom and motherhood: 'Can women really have it all?',1,gender_stereotyping,0.92,train
"Men 'naturally better suited' to engineering roles, study claims – women urged to consider nursing instead",1,gender_stereotyping,0.94,train
Stay-at-home dad admits he's 'useless' at cooking and cleaning: 'These things just don't come naturally to me',1,gender_stereotyping,0.89,train
Beautiful blonde MP criticised for ambition: colleagues say she should focus on marriage instead,1,gender_stereotyping,0.91,train
"Why women doctors are 'too emotional' for surgery, according to prominent surgeon",1,gender_stereotyping,0.96,train
